time,pm10,pm2.5,co,no,no2,so2,o3,aqi
1/01/2022 0:00,24.67,21.7,158.77083,0.03779089,3.6006804,1.2609731,52.70214,71
1/01/2022 1:00,24.67,21.7,157.89919,0.02376725,3.4382699,1.2290826,52.888874,71
1/01/2022 2:00,24.67,21.7,157.42606,0.017551754,3.2881806,1.2184862,53.006836,71
1/01/2022 3:00,24.67,21.7,157.0059,0.014171111,3.1715777,1.2137247,53.150036,71
1/01/2022 4:00,24.67,21.7,156.35101,0.014367497,3.0118604,1.2260629,53.324802,71
1/01/2022 5:00,24.67,21.7,156.4255,0.023119804,2.9174922,1.2474502,53.49258,71
1/01/2022 6:00,24.67,21.7,156.11809,0.05424944,2.8661172,1.2576256,53.656235,71
1/01/2022 7:00,24.67,21.7,156.0059,0.11292864,2.7882242,1.2666605,54.051228,71
1/01/2022 8:00,24.67,21.7,155.34824,0.20864809,2.6693559,1.273854,54.578304,71
1/01/2022 9:00,24.67,21.7,154.53459,0.32621184,2.5152254,1.2670732,55.31554,71
1/01/2022 10:00,24.67,21.7,154.02043,0.40518692,2.4101043,1.26713,56.532806,71
1/01/2022 11:00,24.67,21.7,153.31934,0.42818278,2.3855884,1.2702537,57.682076,71
1/01/2022 12:00,24.67,21.7,153.04007,0.39449123,2.4166524,1.2610785,58.72583,71
1/01/2022 13:00,24.67,21.7,152.77995,0.3341833,2.5082722,1.2593787,59.557205,71
1/01/2022 14:00,24.67,21.7,153.51099,0.25131434,2.6801646,1.2465365,60.045345,71
1/01/2022 15:00,24.67,21.7,154.82025,0.15657118,2.8975093,1.2461166,60.0801,71
1/01/2022 16:00,24.67,21.7,156.78032,0.07901029,3.132833,1.246518,59.54668,71
1/01/2022 17:00,24.67,21.7,158.83145,0.047607653,3.3437192,1.2572215,58.869053,71
1/01/2022 18:00,24.67,21.7,160.15913,0.04478066,3.4948096,1.2632618,58.20815,71
1/01/2022 19:00,24.67,21.7,161.07707,0.046564452,3.4893472,1.2718786,57.646233,71
1/01/2022 20:00,24.67,21.7,162.03697,0.046347596,3.4306645,1.2694116,57.266796,71
1/01/2022 21:00,24.67,21.7,161.87578,0.043072756,3.295734,1.251951,57.04767,71
1/01/2022 22:00,24.67,21.7,161.88347,0.037802417,3.1513503,1.2157574,56.814842,71
1/01/2022 23:00,24.67,21.7,160.84021,0.030592803,2.941946,1.179174,56.701283,71
2/01/2022 0:00,21.4,17.53,158.75615,0.024678139,2.823951,1.1627997,56.665688,62
2/01/2022 1:00,21.4,17.53,158.11899,0.020016171,2.6699858,1.1408815,56.631004,62
2/01/2022 2:00,21.4,17.53,157.39827,0.016649472,2.5342515,1.109616,56.60296,62
2/01/2022 3:00,21.4,17.53,156.69026,0.014627512,2.4018457,1.1080054,56.68353,62
2/01/2022 4:00,21.4,17.53,156.1318,0.014484067,2.3164845,1.1114498,56.655266,62
2/01/2022 5:00,21.4,17.53,155.62282,0.021360777,2.2998028,1.1355579,56.5875,62
2/01/2022 6:00,21.4,17.53,155.9715,0.049547926,2.322059,1.148529,56.57309,62
2/01/2022 7:00,21.4,17.53,155.54356,0.10065105,2.318657,1.1781613,56.807507,62
2/01/2022 8:00,21.4,17.53,155.02173,0.18149242,2.2768536,1.1740029,57.219376,62
2/01/2022 9:00,21.4,17.53,154.29427,0.2820238,2.1862252,1.1867119,57.90432,62
2/01/2022 10:00,21.4,17.53,153.26335,0.3379741,2.1182413,1.1795623,59.035736,62
2/01/2022 11:00,21.4,17.53,152.82242,0.34621418,2.1348476,1.1697725,60.06081,62
2/01/2022 12:00,21.4,17.53,152.013,0.31948787,2.169192,1.1613098,61.007824,62
2/01/2022 13:00,21.4,17.53,152.02289,0.27003038,2.2597773,1.1760345,61.75193,62
2/01/2022 14:00,21.4,17.53,152.72345,0.19830804,2.4330294,1.180445,62.0581,62
2/01/2022 15:00,21.4,17.53,154.09798,0.115218244,2.6700864,1.2006202,61.91574,62
2/01/2022 16:00,21.4,17.53,156.22578,0.060397368,2.908428,1.1982898,61.227257,62
2/01/2022 17:00,21.4,17.53,158.25795,0.034837384,3.1298018,1.2065827,60.43445,62
2/01/2022 18:00,21.4,17.53,159.72646,0.027732378,3.2580595,1.2105707,59.617992,62
2/01/2022 19:00,21.4,17.53,160.08882,0.027239252,3.2460868,1.2000649,58.97748,62
2/01/2022 20:00,21.4,17.53,160.21869,0.026586384,3.1669333,1.1903131,58.623634,62
2/01/2022 21:00,21.4,17.53,159.84612,0.023818681,3.034465,1.1667761,58.384117,62
2/01/2022 22:00,21.4,17.53,159.82407,0.020225398,2.6232798,1.1449575,58.29814,62
2/01/2022 23:00,21.4,17.53,158.53354,0.016786883,2.6894443,1.1201895,58.31383,62
3/01/2022 0:00,52.81,37.66,159.41962,0.013255266,2.532968,1.0967087,58.211266,106
3/01/2022 1:00,52.81,37.66,159.12251,0.010659617,2.3723252,1.0796843,58.21149,106
3/01/2022 2:00,52.81,37.66,158.5459,0.009373656,2.2545924,1.0700977,58.171055,106
3/01/2022 3:00,52.81,37.66,158.1444,0.009229263,2.1712344,1.0669563,58.16394,106
3/01/2022 4:00,52.81,37.66,157.84207,0.012128256,2.1474314,1.0906035,58.201477,106
3/01/2022 5:00,52.81,37.66,157.81285,0.024843913,2.2625682,1.1177784,58.06029,106
3/01/2022 6:00,52.81,37.66,158.08324,0.06618847,2.485098,1.1526493,57.854687,106
3/01/2022 7:00,52.81,37.66,158.41237,0.13802008,2.6870441,1.1669922,57.820747,106
3/01/2022 8:00,52.81,37.66,157.5211,0.23355803,2.7641702,1.1822692,58.042015,106
3/01/2022 9:00,52.81,37.66,157.01782,0.33708206,2.6804438,1.1817147,58.68528,106
3/01/2022 10:00,52.81,37.66,156.29167,0.3892378,2.286113,1.1904031,59.646416,106
3/01/2022 11:00,52.81,37.66,155.48279,0.39059925,2.4967499,1.1862291,60.636436,106
3/01/2022 12:00,52.81,37.66,154.91225,0.35395688,2.49231,1.1833196,61.631496,106
3/01/2022 13:00,52.81,37.66,154.7252,0.29475805,2.5598285,1.1775031,62.338394,106
3/01/2022 14:00,52.81,37.66,155.7144,0.2205116,2.790915,1.1947911,62.557713,106
3/01/2022 15:00,52.81,37.66,157.22601,0.14066721,3.1144483,1.2067975,62.34206,106
3/01/2022 16:00,52.81,37.66,158.94714,0.08984751,3.4486601,1.2239702,61.682777,106
3/01/2022 17:00,52.81,37.66,161.24188,0.0565647,3.718688,1.2517701,61.000046,106
3/01/2022 18:00,52.81,37.66,162.52267,0.04461063,3.820489,1.281478,60.175373,106
3/01/2022 19:00,52.81,37.66,163.34549,0.041455425,3.78186,1.294244,59.533073,106
3/01/2022 20:00,52.81,37.66,163.81537,0.03655463,3.6335213,1.3095757,59.259884,106
3/01/2022 21:00,52.81,37.66,163.93515,0.03074348,3.454684,1.2888904,59.088818,106
3/01/2022 22:00,52.81,37.66,163.55948,0.025475968,3.2656949,1.2572103,58.82686,106
3/01/2022 23:00,52.81,37.66,162.6987,0.02034053,3.0572264,1.2247791,58.71534,106
4/01/2022 0:00,55.91,40.04,161.73228,0.015426713,2.8382232,1.1965675,58.679573,112
4/01/2022 1:00,55.91,40.04,160.99603,0.012104292,2.6369376,1.1743299,58.684273,112
4/01/2022 2:00,55.91,40.04,159.95921,0.01040332,2.5197332,1.1563495,58.681007,112
4/01/2022 3:00,55.91,40.04,159.59232,0.01002208,2.4288256,1.1517488,58.64857,112
4/01/2022 4:00,55.91,40.04,159.78925,0.014377865,2.4151142,1.1642015,58.58734,112
4/01/2022 5:00,55.91,40.04,160.34077,0.030769369,2.5185926,1.1949964,58.4372,112
4/01/2022 6:00,55.91,40.04,161.05879,0.0774131,2.7944553,1.227694,58.20924,112
4/01/2022 7:00,55.91,40.04,161.4443,0.15322362,3.04624,1.2642093,58.183777,112
4/01/2022 8:00,55.91,40.04,161.22844,0.25470915,3.1767366,1.2962458,58.45545,112
4/01/2022 9:00,55.91,40.04,160.30275,0.3508854,3.0708601,1.3105845,59.170315,112
4/01/2022 10:00,55.91,40.04,159.5174,0.3903487,2.9041483,1.3078467,60.2663,112
4/01/2022 11:00,55.91,40.04,158.63065,0.3844263,2.8143728,1.2996556,61.309498,112
4/01/2022 12:00,55.91,40.04,158.31262,0.34424406,2.8010223,1.2918321,62.30234,112
4/01/2022 13:00,55.91,40.04,158.41853,0.281844,2.9118543,1.283588,62.845795,112
4/01/2022 14:00,55.91,40.04,159.26762,0.20267239,3.120408,1.2865442,62.965843,112
4/01/2022 15:00,55.91,40.04,160.54753,0.12962438,3.393444,1.3052673,62.666027,112
4/01/2022 16:00,55.91,40.04,162.42473,0.08687069,3.650645,1.3160487,62.114307,112
4/01/2022 17:00,55.91,40.04,164.37572,0.06297425,3.8124208,1.3379321,61.59456,112
4/01/2022 18:00,55.91,40.04,165.63535,0.055050034,3.808892,1.3529866,61.172714,112
4/01/2022 19:00,55.91,40.04,166.14099,0.048735872,3.683418,1.3567195,60.9858,112
4/01/2022 20:00,55.91,40.04,165.985,0.042574257,3.4916565,1.3508345,60.939938,112
4/01/2022 21:00,55.91,40.04,165.65367,0.035634488,3.2617233,1.3271682,61.01657,112
4/01/2022 22:00,55.91,40.04,164.55507,0.028986556,3.0429885,1.291126,61.092842,112
4/01/2022 23:00,55.91,40.04,163.46242,0.023474101,2.8268154,1.259959,61.138565,112
5/01/2022 0:00,59.46,45.53,162.24179,0.018964892,2.6155012,1.2257549,61.178795,126
5/01/2022 1:00,59.46,45.53,161.08272,0.014753858,2.424575,1.196124,61.1606,126
5/01/2022 2:00,59.46,45.53,160.28944,0.012977209,2.302205,1.18209,61.120937,126
5/01/2022 3:00,59.46,45.53,159.8323,0.011990504,2.2151518,1.1765176,61.13219,126
5/01/2022 4:00,59.46,45.53,159.74673,0.014380695,2.2180192,1.1845176,61.016716,126
5/01/2022 5:00,59.46,45.53,160.04944,0.029439988,2.3312614,1.2109637,60.843727,126
5/01/2022 6:00,59.46,45.53,160.74107,0.07153728,2.5279229,1.2422256,60.588665,126
5/01/2022 7:00,59.46,45.53,160.58423,0.14053866,2.7826464,1.2635376,60.50707,126
5/01/2022 8:00,59.46,45.53,159.91368,0.21076475,2.8923328,1.2783433,60.653797,126
5/01/2022 9:00,59.46,45.53,159.12366,0.280282,2.8150003,1.2794542,61.29426,126
5/01/2022 10:00,59.46,45.53,158.16632,0.31628016,2.6401927,1.2668968,62.33755,126
5/01/2022 11:00,59.46,45.53,156.9984,0.31717455,2.529685,1.2495131,63.315605,126
5/01/2022 12:00,59.46,45.53,156.55696,0.286157,2.4971735,1.238727,64.17295,126
5/01/2022 13:00,59.46,45.53,156.47302,0.23451746,2.5515435,1.2216101,64.82334,126
5/01/2022 14:00,59.46,45.53,157.15472,0.16218434,2.750383,1.2163059,65.06753,126
5/01/2022 15:00,59.46,45.53,158.33304,0.0894139,3.015373,1.2163049,64.79599,126
5/01/2022 16:00,59.46,45.53,160.05458,0.050334793,3.2797866,1.209361,64.07863,126
5/01/2022 17:00,59.46,45.53,161.70029,0.034056958,3.4820578,1.2189325,63.29925,126
5/01/2022 18:00,59.46,45.53,162.60637,0.028930426,3.5745003,1.2265153,62.625965,126
5/01/2022 19:00,59.46,45.53,162.63196,0.026021415,3.5127714,1.2296942,62.203934,126
5/01/2022 20:00,59.46,45.53,163.16481,0.021688761,3.374112,1.2197795,61.948475,126
5/01/2022 21:00,59.46,45.53,162.76996,0.01765209,3.173078,1.1961346,61.856056,126
5/01/2022 22:00,59.46,45.53,161.9178,0.014174513,2.9815292,1.1684762,62.469604,126
