date,pm10,pm2.5
1/01/2024,71.86,60.11
2/01/2024,83.01,52.59
3/01/2024,115.81,52.32
4/01/2024,78.21,34.41
5/01/2024,80.21,34.82
6/01/2024,47.06,32.08
7/01/2024,21.87,14.53
8/01/2024,41.12,17
9/01/2024,13.92,11.91
10/01/2024,36.17,20.18
11/01/2024,64.26,24.12
12/01/2024,27.55,18.07
13/01/2024,25.53,21.51
14/01/2024,46.12,37.6
15/01/2024,123.78,53.1
16/01/2024,56.01,39.23
17/01/2024,72.1,25.38
18/01/2024,74.71,41.34
19/01/2024,76.35,37.78
20/01/2024,67.36,39.56
21/01/2024,67.69,37.86
22/01/2024,68.36,38.56
23/01/2024,69.12,28.2
24/01/2024,20.56,12.41
25/01/2024,46.29,18.59
26/01/2024,18.21,8.47
27/01/2024,20.99,9.37
28/01/2024,9.6,7.35
29/01/2024,16.34,10.64
30/01/2024,14.21,7.93
31/01/2024,41.54,22.36
1/02/2024,73.26,36.99
2/02/2024,38.7,20.71
3/02/2024,29.28,19.53
4/02/2024,39.93,21.82
5/02/2024,103.45,40.36
6/02/2024,76.66,38.78
7/02/2024,67.49,40.29
8/02/2024,76.66,38.78
9/02/2024,67.49,40.29
10/02/2024,66.38,34.22
11/02/2024,63.38,29.42
12/02/2024,52.98,25.22
13/02/2024,43.38,14.22
14/02/2024,11.92,7.55
15/02/2024,16.52,11.2
16/02/2024,26.95,17.65
17/02/2024,43.15,27.51
18/02/2024,34.96,26
19/02/2024,30.94,22.71
20/02/2024,29.49,21.21
21/02/2024,35.53,21.61
22/02/2024,46.67,24.82
23/02/2024,70.59,33.61
24/02/2024,27.68,13.35
25/02/2024,26.15,17.33
26/02/2024,39.19,13.39
27/02/2024,57.7,25.74
28/02/2024,54.34,27.75
29/02/2024,46.67,24.09
1/03/2024,24.94,17.89
2/03/2024,30.76,20.62
3/03/2024,32.71,18.43
4/03/2024,37.6,16.87
5/03/2024,18.08,9.79
6/03/2024,38.41,15.89
7/03/2024,28.95,12.07
8/03/2024,12.95,7.17
9/03/2024,15.22,9.41
10/03/2024,20.32,12.61
11/03/2024,36.14,13.05
12/03/2024,31.08,10.54
13/03/2024,24.96,8.73
14/03/2024,15.6,8.18
15/03/2024,25.02,12.61
16/03/2024,23.2,13.26
17/03/2024,19.74,14.3
18/03/2024,19,13.15
19/03/2024,34.77,13.44
20/03/2024,23.02,10.09
21/03/2024,43.6,17.8
22/03/2024,29.71,13.18
23/03/2024,28.35,12.94
24/03/2024,28.23,18.87
25/03/2024,29.37,19.78
26/03/2024,32.56,19.67
27/03/2024,68.32,26.39
28/03/2024,75.42,28.22
29/03/2024,68.51,23.26
30/03/2024,54.85,20.92
31/03/2024,75.37,49.87
1/04/2024,69.62,40.2
2/04/2024,66.53,29.13
3/04/2024,16.66,5.21
4/04/2024,49.34,12.23
5/04/2024,60.75,22.41
6/04/2024,50.67,17.64
7/04/2024,25.59,12.48
8/04/2024,24.81,9.37
9/04/2024,47.53,10.84
10/04/2024,63.66,13.29
11/04/2024,44.36,15.89
12/04/2024,58.75,16.59
13/04/2024,55.2,21.76
14/04/2024,28.72,12.24
15/04/2024,84.02,25.19
16/04/2024,40.35,21.22
17/04/2024,46.95,22.23
18/04/2024,40.35,19.92
19/04/2024,21.88,10.14
20/04/2024,26.35,14.91
21/04/2024,56.98,21.2
22/04/2024,21.88,10.14
23/04/2024,26.35,14.91
24/04/2024,56.98,21.2
25/04/2024,34.23,9.22
26/04/2024,23.75,6.96
27/04/2024,26.02,9.71
28/04/2024,21.8,10.94
29/04/2024,30.79,10.48
30/04/2024,24.96,7.3
1/05/2024,14.59,6.03
2/05/2024,22.21,7.72
3/05/2024,27.93,6.04
4/05/2024,7.5,3.24
5/05/2024,13.29,6.63
6/05/2024,16.45,8.21
7/05/2024,18.11,8.14
8/05/2024,33.8,12.53
9/05/2024,31.88,15.04
10/05/2024,16.17,8.75
11/05/2024,15.8,4.82
12/05/2024,17.16,7.96
13/05/2024,24.69,7.37
14/05/2024,17.14,4.66
15/05/2024,20.26,7.19
16/05/2024,19.05,8.73
17/05/2024,37.19,11.51
18/05/2024,33.8,13.78
19/05/2024,37.32,17.95
20/05/2024,39.09,14.95
21/05/2024,40.53,14.71
22/05/2024,35.31,10.86
23/05/2024,28.44,7.47
24/05/2024,22,5.7
25/05/2024,23.16,8.17
26/05/2024,28.52,8.92
27/05/2024,40.4,9.13
28/05/2024,36.49,10.23
29/05/2024,27.91,10.39
30/05/2024,24.87,9.79
31/05/2024,30.75,10.4
1/06/2024,25.62,11.77
2/06/2024,31.26,15.26
3/06/2024,36.56,15.31
4/06/2024,58.33,15.05
5/06/2024,42.62,11.39
6/06/2024,25.28,9.17
7/06/2024,34.09,13.28
8/06/2024,29.25,12.32
9/06/2024,27.21,10.57
10/06/2024,32.12,11
11/06/2024,35.9,13.24
12/06/2024,45.63,14.46
13/06/2024,53.97,13.83
14/06/2024,27.23,7.74
15/06/2024,13.51,6.13
16/06/2024,18.58,8.6
17/06/2024,34.89,11.73
18/06/2024,62.5,14.12
19/06/2024,42.12,18.25
20/06/2024,29.15,13.16
21/06/2024,72.29,16.57
22/06/2024,32.47,11.89
23/06/2024,25.45,8.43
24/06/2024,26.5,8.75
25/06/2024,33.84,11.21
26/06/2024,35.43,11.13
27/06/2024,31.17,8.49
28/06/2024,24.06,11.01
29/06/2024,23.24,10.71
30/06/2024,20.9,9.14
